part_name,part_type
7 ryzen 9800x3d amd,CPU
7 ryzen 7800x3d amd,CPU
7600x ryzen 5 amd,CPU
ryzen 9600x 5 amd,CPU
7 ryzen 7700x amd,CPU
ryzen 9 9950x3d amd,CPU
ryzen 5 5500 amd,CPU
7 ryzen 9700x amd,CPU
ryzen 5 5600x amd,CPU
5600 ryzen 5 amd,CPU
7 ryzen 5800x amd,CPU
intel core 14900k - i9,CPU
intel 12400f core i5 -,CPU
intel core 14700k - i7,CPU
ryzen 5 7600 amd,CPU
ryzen 5 3600 amd,CPU
7 ryzen 5700x amd,CPU
ryzen 9 9900x amd,CPU
intel core i5 14600k -,CPU
ryzen 9 7900x amd,CPU
7 ryzen 5700x3d amd,CPU
intel core ultra 7 265k,CPU
intel core i5 14400f -,CPU
ryzen 5 7500f amd,CPU
ryzen 9 9950x amd,CPU
7 ryzen 7700 amd,CPU
intel core 12700k - i7,CPU
9 intel core ultra 285k,CPU
7600x3d ryzen 5 amd,CPU
intel core 12700kf - i7,CPU
g 5600 ryzen 5 amd,CPU
intel core i5 13400f -,CPU
ryzen 9 5900x amd,CPU
ryzen 5 7500f amd,CPU
8500 g ryzen 5 amd,CPU
7 ryzen 5800xt amd,CPU
7 ryzen 3700x amd,CPU
intel core i5 12600kf -,CPU
threadripper 3990x amd,CPU
8400f ryzen 5 amd,CPU
intel core i5 12600k -,CPU
g 7 5700 ryzen amd,CPU
7 ryzen 5800x3d amd,CPU
ryzen 4500 5 amd,CPU
ryzen 9 5950x amd,CPU
intel core 14600kf i5 -,CPU
ryzen 9 7950x amd,CPU
intel core - i7 14700kf,CPU
7 ryzen 5700 amd,CPU
g ryzen 5 amd 8600,CPU
i3 intel core 12100f -,CPU
intel core 265kf ultra 7,CPU
intel core - i9 12900k,CPU
ryzen 9 9900x3d amd,CPU
ryzen 9 7950x3d amd,CPU
intel core - i9 14900kf,CPU
g 7 ryzen amd 8700,CPU
intel core - i7 13700k,CPU
intel 10400f core i5 -,CPU
intel core i5 - 13600kf,CPU
ryzen 5 2600 amd,CPU
intel 14900ks core - i9,CPU
7 ryzen 8700f amd,CPU
ryzen 9 7900 amd,CPU
intel core - 14700f i7,CPU
intel 9700k core - i7,CPU
5600gt ryzen 5 amd,CPU
5900xt ryzen 9 amd,CPU
g ryzen 3200 amd 3,CPU
ryzen 4100 3 amd,CPU
intel core - 8700k i7,CPU
intel core - i9 13900k,CPU
g 3400 ryzen 5 amd,CPU
intel core 12400 i5 -,CPU
i3 intel core - 14100f,CPU
ryzen 5 3600x amd,CPU
intel core 9900k - i9,CPU
intel core 12900kf - i9,CPU
7 ryzen 2700x amd,CPU
intel core i5 - 13600k,CPU
ryzen 5600xt 5 amd,CPU
intel core 13700kf - i7,CPU
intel core - 7700k i7,CPU
intel core i5 9400f -,CPU
ryzen 9 3900x amd,CPU
10700k intel core - i7,CPU
7 ryzen 7700 amd,CPU
intel core 6700k - i7,CPU
intel core ultra 245k 5,CPU
14400 intel core i5 -,CPU
7 ryzen 7800x3d amd,CPU
ryzen 3100 3 amd,CPU
ryzen 9 7900x3d amd,CPU
3970x threadripper amd,CPU
intel core i5 11400f -,CPU
7 ryzen 3800x amd,CPU
intel core - i7 12700f,CPU
2600x ryzen 5 amd,CPU
intel core i5 - 9600k,CPU
i3 intel 13100f core -,CPU
7 ryzen 9800x3d amd,CPU
7 ryzen 7800x3d amd,CPU
7600x ryzen 5 amd,CPU
ryzen 9600x 5 amd,CPU
7 ryzen 7700x amd,CPU
ryzen 9 9950x3d amd,CPU
ryzen 5 5500 amd,CPU
7 ryzen 9700x amd,CPU
ryzen 5 5600x amd,CPU
5600 ryzen 5 amd,CPU
7 ryzen 5800x amd,CPU
intel core 14900k - i9,CPU
intel 12400f core i5 -,CPU
intel core 14700k - i7,CPU
ryzen 5 7600 amd,CPU
ryzen 5 3600 amd,CPU
7 ryzen 5700x amd,CPU
ryzen 9 9900x amd,CPU
intel core i5 14600k -,CPU
ryzen 9 7900x amd,CPU
7 ryzen 5700x3d amd,CPU
intel core ultra 7 265k,CPU
intel core i5 14400f -,CPU
ryzen 5 7500f amd,CPU
ryzen 9 9950x amd,CPU
7 ryzen 7700 amd,CPU
intel core 12700k - i7,CPU
9 intel core ultra 285k,CPU
7600x3d ryzen 5 amd,CPU
intel core 12700kf - i7,CPU
g 5600 ryzen 5 amd,CPU
intel core i5 13400f -,CPU
ryzen 9 5900x amd,CPU
ryzen 5 7500f amd,CPU
8500 g ryzen 5 amd,CPU
7 ryzen 5800xt amd,CPU
7 ryzen 3700x amd,CPU
intel core i5 12600kf -,CPU
threadripper 3990x amd,CPU
8400f ryzen 5 amd,CPU
intel core i5 12600k -,CPU
g 7 5700 ryzen amd,CPU
7 ryzen 5800x3d amd,CPU
ryzen 4500 5 amd,CPU
ryzen 9 5950x amd,CPU
intel core 14600kf i5 -,CPU
ryzen 9 7950x amd,CPU
intel core - i7 14700kf,CPU
7 ryzen 5700 amd,CPU
g ryzen 5 amd 8600,CPU
i3 intel core 12100f -,CPU
intel core 265kf ultra 7,CPU
intel core - i9 12900k,CPU
ryzen 9 9900x3d amd,CPU
ryzen 9 7950x3d amd,CPU
intel core - i9 14900kf,CPU
g 7 ryzen amd 8700,CPU
intel core - i7 13700k,CPU
intel 10400f core i5 -,CPU
intel core i5 - 13600kf,CPU
ryzen 5 2600 amd,CPU
intel 14900ks core - i9,CPU
7 ryzen 8700f amd,CPU
ryzen 9 7900 amd,CPU
intel core - 14700f i7,CPU
intel 9700k core - i7,CPU
5600gt ryzen 5 amd,CPU
5900xt ryzen 9 amd,CPU
g ryzen 3200 amd 3,CPU
ryzen 4100 3 amd,CPU
intel core - 8700k i7,CPU
intel core - i9 13900k,CPU
g 3400 ryzen 5 amd,CPU
intel core 12400 i5 -,CPU
i3 intel core - 14100f,CPU
ryzen 5 3600x amd,CPU
intel core 9900k - i9,CPU
intel core 12900kf - i9,CPU
7 ryzen 2700x amd,CPU
intel core i5 - 13600k,CPU
ryzen 5600xt 5 amd,CPU
intel core 13700kf - i7,CPU
intel core - 7700k i7,CPU
intel core i5 9400f -,CPU
ryzen 9 3900x amd,CPU
10700k intel core - i7,CPU
7 ryzen 7700 amd,CPU
intel core 6700k - i7,CPU
intel core ultra 245k 5,CPU
14400 intel core i5 -,CPU
7 ryzen 7800x3d amd,CPU
